artist,track,play_count
Talking Heads,The Great Curve - 2005 Remaster,157
Talking Heads,Crosseyed and Painless - 2005 Remaster,138
The Clash,Spanish Bombs - Remastered,130
Talking Heads,Once in a Lifetime - 2005 Remaster,128
Weezer,Buddy Holly,126
The Clash,The Guns of Brixton - Remastered,118
MGMT,One Thing Left to Try,113
The Clash,Brand New Cadillac - Remastered,110
Weezer,The Good Life,110
Neutral Milk Hotel,King of Carrot Flowers Pts. 2 & 3,107
David Bowie,'Tis a Pity She Was a Whore,105
JPEGMAFIA,Kenan Vs. Kel,102
Radiohead,Paranoid Android,101
MGMT,Song for Dan Treacy,100
Weezer,The World Has Turned and Left Me Here,99
Talking Heads,Houses in Motion - 2005 Remaster,98
Death Grips,Spikes,97
David Bowie,Sound and Vision - 2017 Remastered Version,96
Neutral Milk Hotel,King of Carrot Flowers Pt. 1,96
Pixies,Wave of Mutilation,96
Brian Eno,St Elmo's Fire - 2004 Digital Remaster,95
David Bowie,Watch That Man - 2013 Remastered Version,95
JPEGMAFIA,Beta Male Strategies,95
Weezer,No One Else,95
Death Grips,Three Bedrooms in a Good Neighborhood,94
Radiohead,Karma Police,93
Death Grips,Billy Not Really,92
MGMT,She Works Out Too Much,91
The Clash,Rudie Can't Fail - Remastered,91
The Clash,Wrong 'Em Boyo - Remastered,91
"Tyler, the Creator",I THINK,91
Death Grips,Hustle Bones,90
Kero Kero Bonito,If I'd Known,90
Neutral Milk Hotel,"Holland, 1945",90
The Clash,Lost in the Supermarket - Remastered,90
Weezer,El Scorcho,90
The Clash,Death or Glory - Remastered,89
The Clash,Lover's Rock - Remastered,89
"Tyler, the Creator",WHAT'S GOOD,88
Neutral Milk Hotel,In the Aeroplane Over the Sea,87
Talking Heads,Making Flippy Floppy - 2005 Remaster,87
The Clash,The Right Profile - Remastered,87
The Clash,I'm Not Down - Remastered,86
David Bowie,Look Back in Anger - 2017 Remaster,85
Death Grips,Bubbles Buried in This Jungle,85
Death Grips,Warping,85
Nirvana,Drain You,85
Pixies,Debaser,85
Pixies,I Bleed,85
"Tyler, the Creator",NEW MAGIC WAND,85
Madvillain,Raid,84
Talking Heads,Cities - 2005 Remaster,84
Aphex Twin,Carn Marth,83
The Clash,Koka Kola - Remastered,83
David Bowie,D.J. - 2017 Remaster,82
David Bowie,Ashes to Ashes - 2017 Remastered Version,81
MGMT,Flash Delirium,81
Death Grips,BB Poison,80
Radiohead,Airbag,80
Aphex Twin,4,79
Aphex Twin,Fingerbib,79
David Bowie,Always Crashing in the Same Car - 2017 Remastered Version,79
Radiohead,Subterranean Homesick Alien,79
Talking Heads,Born Under Punches (The Heat Goes On) - 2005 Remaster,79
Talking Heads,Seen and Not Seen - 2005 Remaster,79
David Bowie,Moonage Daydream - 2012 Remastered Version,78
Madvillain,Curls,78
Talking Heads,Making Flippy Floppy - Live,78
Talking Heads,"Uh-Oh, Love Comes to Town - 2005 Remaster",78
The Clash,Four Horsemen - Remastered,78
The Clash,The Card Cheat - Remastered,78
Aphex Twin,Cornish Acid,77
David Bowie,Boys Keep Swinging - 2017 Remaster,77
Kero Kero Bonito,Flyway,77
MGMT,Brian Eno,77
Radiohead,Electioneering,77
The Clash,Clampdown - Remastered,77
David Bowie,Golden Years - 2016 Remastered Version,76
Death Grips,Blackjack,76
Sleater-Kinney,Rollercoaster,76
Slint,Nosferatu Man,76
Beastie Boys,Hey Ladies,75
David Bowie,Modern Love - 1999 Remastered Version,75
MGMT,Little Dark Age,75
Pixies,Here Comes Your Man,75
Talking Heads,Life During Wartime - 2005 Remaster,75
Talking Heads,Moon Rocks - 2005 Remaster,75
"Tyler, the Creator",A BOY IS A GUN*,75
Death Grips,Anne Bonny,74
Dire Straits,Sultans of Swing,74
Kero Kero Bonito,Make Believe,74
Neutral Milk Hotel,Two-Headed Boy,74
Weezer,Surf Wax America,74
Weezer,Undone - The Sweater Song,74
MGMT,The Youth,73
Primal Scream,"Don't Fight It, Feel It",73
The Clash,Revolution Rock - Remastered,73
Death Grips,Double Helix,72
Death Grips,The Cage,72
Death Grips,You Might Think He Loves You for Your Money But I Know What He Really Loves You for It's Your Brand New Leopard Skin Pillbox Hat,72
Madvillain,Bistro,72
OutKast,Slump,72
Talking Heads,Girlfriend Is Better - 2005 Remaster,72
Aphex Twin,To Cure a Weakling Child,71
David Bowie,TVC15 - 2016 Remastered Version,71
OutKast,Synthesizer (feat. George Clinton),71
The Clash,London Calling - Remastered,71
Beastie Boys,Egg Man,70
David Bowie,Soul Love - 2012 Remastered Version,70
JPEGMAFIA,"Jesus Forgive Me, I Am a Thot",70
MF DOOM,Rapp Snitch Knishes feat. Mr. Fantastik,70
MGMT,Weekend Wars,70
Death Grips,80808,69
Death Grips,The Fever (Aye Aye),69
MGMT,It's Working,69
David Bowie,Panic in Detroit - 2013 Remastered Version,68
David Bowie,Star - 2012 Remastered Version,68
Death Grips,Black Dice,68
Death Grips,Turned Off,68
Death Grips,Eh,67
The Chemical Brothers,Galaxy Bounce,67
The Clash,Hateful - Remastered,67
The Dismemberment Plan,A Life of Possibilities,67
The Dismemberment Plan,Memory Machine,67
David Bowie,Let's Spend the Night Together - 2013 Remastered Version,66
Death Grips,Get Got,66
Kanye West,Praise God,66
Madvillain,Meat Grinder,66
MGMT,Electric Feel,66
Otoboke Beaver,Bad luck,66
Otoboke Beaver,Don't light my fire,66
Talking Heads,Swamp - Live,66
The Roots,Ain't Sayin' Nothin' New,66
Aphex Twin,Peek 824545201,65
Death Grips,Ring a Bell,65
Madvillain,Money Folder,65
New Order,Age of Consent - 2015 Remaster,65
The Chemical Brothers,Dig Your Own Hole,65
Weezer,Getchoo,65
Weezer,Say It Ain't So,65
Aphex Twin,Windowlicker,64
David Bowie,The Next Day,64
Death Grips,Streaky,64
Talking Heads,Burning Down the House,64
Talking Heads,Slippery People - Live,64
"Tyler, the Creator",RUNNING OUT OF TIME,64
Weezer,Across the Sea,64
Weezer,Tired of Sex,64
Brian Eno,In Dark Trees - 2004 Digital Remaster,63
David Bowie,A New Career in a New Town - 2017 Remastered Version,63
David Bowie,Fashion - 2017 Remastered Version,63
Death Grips,Lost Boys,63
Talking Heads,Mind - 2005 Remaster,63
Talking Heads,Pull up the Roots - 2005 Remaster,63
A Tribe Called Quest,Buggin' Out,62
Aphex Twin,Xtal,62
David Bowie,Sue (Or in a Season of Crime),62
David Bowie,TVC15 - 2016 Remaster,62
JPEGMAFIA,Baby I'm Bleeding,62
MF DOOM,Rhymes Like Dimes,62
MGMT,Someone's Missing,62
Neutral Milk Hotel,Ghost,62
Neutral Milk Hotel,The Fool,62
Primal Scream,Slip Inside This House,62
Travis Scott,SICKO MODE,62
David Bowie,African Night Flight - 2017 Remaster,61
David Bowie,Blackout - 2017 Remaster,61
David Bowie,Time - 2013 Remastered Version,61
DJ Shadow,The Number Song,61
MF DOOM,Red And Gold,61
Swans,Oxygen,61
The Chemical Brothers,Block Rockin' Beats,61
The Chemical Brothers,Don't Stop the Rock,61
The Chemical Brothers,Get Up On It Like This,61
The Chemical Brothers,Got To Keep On,61
Blondie,One Way or Another - Remastered,60
Brian Eno,Golden Hours - 2004 Digital Remaster,60
Daughters,The Reason They Hate Me,60
David Bowie,Station To Station - 2016 Remastered Version,60
Death Grips,Punk Weight,60
Otoboke Beaver,Bakuro Book,60
Pink Floyd,Money - 2011 Remastered Version,60
Radiohead,Let Down,60
Swans,A Little God In My Hands,60
Talking Heads,Slippery People - 2005 Remaster,60
Brian Eno,I'll Come Running - 2004 Digital Remaster,59
David Bowie,Blackout - 2017 Remastered Version,59
David Bowie,Move On - 2017 Remaster,59
David Bowie,Word On A Wing - 2016 Remastered Version,59
Death Grips,I've Seen Footage,59
Neutral Milk Hotel,[Untitled],59
The Dismemberment Plan,Gyroscope,59
David Bowie,Love Is Lost,58
David Bowie,Sound and Vision - 2017 Remaster,58
David Bowie,The Prettiest Star - 2013 Remastered Version,58
Iggy Pop,China Girl,58
Joy Division,Day of the Lords - 2019 Digital Master,58
Kanye West,Off the Grid,58
Pixies,Monkey Gone to Heaven,58
Primus,Jerry Was a Race Car Driver,58
